ko	en
신주쿠역에서 사망 사고가 있었어요.	There was an incidence of death at Shinjuku Station.
당신을 사랑하는 마음이 매우 커요.	My loving heart toward you is huge.
종일 컴퓨터를 해서 눈이 아파요.	My eyes hurt because I've worked with my computer all day long.
여행사를 통한 예약은 여행사의 요청이 필요합니다.	Booking through travel agencies needs their requests.
값을 깎아 달라고 흥정을 했었어야죠.	You should have paltered.
오늘 봉사 활동은 세 시간으로 등록하시기 바래요.	Please register today's volunteer work as three hours.
우리 팀은 플레이하는 사람들이 적어요.	We have only a few team players.
당신이 이기더라도 만족해하지 말아요.	Don't be satisfied even if you win.
기쁠 때나 슬플 때나 늘 곁에 있어 주지.	They are always with me in joy and in sorrow.
다음 주가 시험이라는 이야기를 들었어.	I heard there is an exam next week.
그대로 발송해 주시면 좋겠습니다.	I would be thankful if you could send it exactly the way it got sent.
해당 동물을 구하는것이 쉽지 않다는 것은인지하고 있어요.	I am well aware that it's going to be difficult to procure these animals.
공연을 본 후 우리는 점심으로 재래 시장 안쪽 찜닭 골목에서 먹었어요.	After the show, we had lunch at a steamed chicken place in the inner part of the traditional market.
그 태풍은 일본으로 다가오고 있어요.	The typhoon is approaching Japan.
그것은 충분히 고급스러운 표현이에요.	That's a pretty sophisticated expression.
그에 앞서 확인을 부탁드릴 사항이 하나 있습니다.	Before all, we want you to confirm something.
피부에 안전한 천연 성분과 한방 성분이 있습니다.	There are natural ingredients and oriental medical ingredients, which is harmless for skin.
또한, 다양한 문화에 대해 많은 것을 배울 수 있을 것 같아.	Plus, I think I can learn a lot about various cultures.
이 자료를 참고하여 확인하도록 하세요.	Confirm it referring to this data.
사장님이 추천해주는 와인도 맛있어요.	The wine that the owner recommends is delicious.
사람에게 위험한 병균을 가지고 있어.	It has a virus that is hazardous to human beings.
한국인은 전통적으로 교육을 중시해요.	Koreans traditionally put importance on education.
중국의 공리후이 선수와 류궈량 선수가 유명하죠.	Gongrihui and Ryugweryang are both famous Chinese players.
화분이 책상에서 떨어지는 중이에요.	A flowerpot is falling from a desk.
옵션을 활성화하면 바로 투영할 방향을 설정해야 합니다.	When the option is activated, the direction of the projection should be established instantly.
민수는 학생 회관에 자주 가요.	Minsu goes to the student's hall often.
나에게 소중한 그 사람을 좋아해요.	I love him who is so precious to me.
우리는 서로 견해가 다른 것 같군요.	We seem to have a different point of view.
그와 만난 지 한 달 정도 됐어.	I have gone out with him for about a month.
너희는 계속해서 약속을 어기고 있어.	You keep breaking the promise.
이 모델들은 기능이 많이 있어요.	These models have many features.
논문을 제출해야 할 정확한 날짜를 알려주십시요.	Please let me know the exact deadline for submitting a thesis.
스폰서에 대해 더 자세히 알고 싶어요.	I want some more details about the sponsor.
당신의 새 핸드폰을 내가 세트 업해도 될까요?	Can I set up your new cellphone?
추가로 확인되는 사항에 대해 공유해 주세요.	Please share further confirmed items.
우리는 그 철도 체계를 받아들였어요.	We accepted the rail system.
누군가가 주차된 내 차를 부딪칠 때?	When someone bumps into my parked car?
악기를 열심히 배워서 꼭 음악치료사가 되고 싶어요.	I want to learn how to perform with instruments so as to become a musical therapist.
이번 주에 너의 인형을 배송할 예정이야.	I am planning to send your doll this week.
돌개바람에 해나라 가장자리가 뭉텅뭉텅 떨어져 나갔어요.	After having several talks, you will realize that he smiles very often and is an active person.
후배들은 행군까지 멋진 행사들을 보여 주었다.	Juniors showed awesome festivals until the march.
이번에 처리한 일은 먼저 지불해 주세요.	Please make the payment for what was processed this time.
목공 일을 시작하려는 21살 남자예요.	I am a 21-year-old male who tries to start carpentry works.
분홍색인 이유는 플랑크톤 때문이에요.	It's pink because of planktons.
했던 일과 해야 할 일을 체크해요.	I check the work I've done and the work I have to do.
어제부터 위가 이상한 느낌이 들어요.	It has felt strange in my stomach since yesterday.
석모도, 강화도 같은 곳에 염전이 조금 남아 있기도 하답니다.	There are still some salt ponds left in places like Seokmodo and Ganghwado.
숲속 마을에 작은 장신구 가게가 생겼어요.	A small fancy shop has opened in a village of the forest.
이 시계의 원가는 600달러예요.	The original price of this watch is 600 dollars.
당신이 환승할 시간에 지하철이 있어요.	There is a subway when you transfer.
난 침례 신학대학교에 다니고 있어.	I go to #Korea Baptist Theological University#.
필리핀에 태풍이 왔다던데 피해 없니?	I heard that the typhoon attacked the Philippines, are you alright?
그들이 따뜻한 겨울을 보낼 거예요.	They'll spend a warm winter.
떠난 자리에 향기를 남기는 사람이 되고 파요.	I want to be a person who leaves the place clean.
두 종류의 신분증을 볼 수 있을까요?	May I see two pieces of identification?
인천 공항행 항공권 발권 창구가 몇 번인가요?	Which number is the window issuing airline ticket to Incheon airport?
나무토막을 순간적으로 집중한 뒤 쳐보세요.	Strike the block with a momentary concentration of power.
고양이랑 친해지는 것은 시간이 약간 걸립니다.	It takes some time to get along with cats.
두 마음이 하나 되면 두려울 게 없어.	There's nothing to be afraid of when we're together.
앞장과 동일한 기조를 유지해 주세요.	Keep the same keynote as the previous page.
나에게 필요한 것을 느끼고 공부하니 더 즐겁습니다.	It is more fun to study as I know what I need.
오늘은 농담을 한마디도 안 하셨어요.	You haven't told a single joke today.
내일 오후 2시에 고객과 미팅을 가질 예정입니다.	We're schedule to have a meeting with our clients at 2PM.
항상 한국 시장에 대한 관심을 가지고 기회를 주려고해줘서 감사해요.	Thanks for your continued interest in the Korean market and for giving us opportunities.
나의 군대 후임이 용 문신을 했어요.	One of my military juniors got a dragon tattoo.
비핵심적 가치가 핵심적 가치를 흔들어요.	Non-essential value shocks essential value.
우리의 소중한 잠을 잘 부탁드릴게요.	Please take care of our precious luggage.
당신이 그 코드를 사용해도 무관해요.	It is okay if you use that code.
우리는 애석하게도 메뉴얼 컨트롤을 사용 할 줄 모릅니다.	Unfortunately, we don't know how to use the manual control.
구체적인 계획은 세우지 않았지만, 밤바다는 꼭 보고 싶습니다!	I haven't made plans yet, but I'd love to see the night sea!
행복하고 축복이 가득한 크리스마스가 되시길 기원해요.	I wish you a happy, merry Christmas.
우리가 주문하는 수량이 많다면 줄여서 주문할 수도 있습니다.	If the quantity was too large for our order, we can also decrease the amount.
폭신한 침대에서 영화를 볼 거예요.	I will watch a movie on a comfortable bed.
내가 가장 좋아하는 팀은 첼시야.	My favorite team is Chelsea.
우리가 구경한 브라질 방향에서는 폭포의 전경을 구경하기 좋았어요.	From the Brazil side where we were, it was great to enjoy the complete view of the waterfall.
우리는 답답함을 해소 시킬 거예요.	We're going to relieve this heavy feeling.
우리는 언론의 자유를 보호해야 해요.	We have to guarantee freedom of speech.
그는 건설 회사에서 일하고 있습니다.	He's working for a construction company.
그녀는 혹독하고 무서운 민틴선생님을 이기고, 꿋꿋하게 살아갔어.	She overcame the strict and scary Teacher Minten and lives strongly.
저의 판매 조건을 다시 확인하세요.	Check my sales conditions again.
급하게 필요해서 빨리 받아 볼 수 있었으면 합니다.	I think so too, I'm so lucky to meet a nice driver.
그 시험에서 탈락한 것이 창피합니다.	I feel shameful to have failed the test.
지금부터 저희 조는 다양한 나라들의 요리를 소개하겠습니다.	Now, our group will introduce you to the various culinary dishes from different countries.
2월부터 학교에 다니기 시작했어요.	I've been attending school since February.
 베스트 납기일자를 알려주세요.	Also, could you tell me the best possible due date for payment?
우리는 오르막길을 올라가고 있었어요.	We were going to the uphill road.
출장으로 인해 일이 많이 밀려 있어요.	Work has been accumulated a lot due to the business trip.
나의 영어 회화 능력이 부족하여 생긴 오해입니다.	It's my lack of English communication ability that brought about this misunderstanding.
어떻게 그 회사에 입사할 수 있었어?	How could you enter that company?
그 영화는 어느 극장에서 상영하나요?	What theater is the movie showing in?
두 번째, 건강한 심장을 유지하는 데 도움이 됩니다.	Secondly, it helps with maintaining a healthy heart.
이번 여름 휴가 계획을 짜볼게.	I’ll make plans for this summer vacation.
조언이 절실한 국가가 바로 인도와 파키스탄입니다.	It is India and Pakistan that need advice desperately. 
그 사람은 재산을 잃어서 괴로워해요.	He suffers from losing his property.
국제적으로 해양 수산 자원 개발 연구가 점점 증가하고 있다.	The research for fishery resources development has been increasing internationally.
두 가지 사항에 대해서만 보고 드리고자 합니다.	I want to inform you of just two points.
애들이 개학하기 전까지 거기에서 모이는 게 어때?	How about everyone gathers up there before the school begins?
귀하가 말씀하신 요구 사항은 받을 수 없습니다.	We can't accept your suggestion, sir.
한국에서는 한자에 남녀 구분이 없어.	There isn't any difference between sex in Chinese characters in Korea.
아뇨, 그럴 필요는 없을 것 같아요.	Not really, I don't think you need to.
당신이 좋아하는 소스를 가져오세요.	Bring the sauce you like.
나는 한 달 하루라도 어릴 때 건강한 아이를 낳고 싶어.	I want to breed a healthy baby as soon as possible when I'm young yet.
그에게 긴급하게 말해야 할 게 있어요.	I have something to tell him as soon as possible.
기능의 상세한 로직에 대해서는 공유가 어렵습니다.	It is difficult to share the detailed logic of function.
피겨 스케이팅 중계 몇 시에 하나요?	What time does the figure skating broadcasting start?
발기부전 보형물을 제작하려고 해요.	I want to produce implants for erectile dysfunction.
나는 군 생활 중에 식단 조절을 한 적이 있어.	I once tried a diet during military service.
우리들이 해야만 하는 것이 그것입니다.	That's what we have to do.
이 밤 귀뚜라미도 지새우는 자정인데 말이죠.	It's the midnight even the crickets stay up.
그런 대학생활을 위해 저희 학생회도 최선을 다하겠습니다.	Our student council union will try our hardest for even those type of students.
그러나 전 침착하게 생활할 거예요.	But I will live calmly.
연예인 사생활 공개로 이들의 주변 사람들까지 피해를 봅니다.	By exposing celebrity's privacy people around them also get hurt.
너의 따뜻한 가족들 그리고 친구들을 만나니 좋겠네.	You must be happy to meet your welcoming family and friends.
한 사람의 행동이나 생각은 다른 사람에게 영향을 줘.	The actions or thoughts of one person influence others.
그녀는 간단한 수술을 할 예정이에요.	She is going to have a simple surgery.
이 빵은 오븐에서 방금 꺼낸 거예요?	Is this bread just taken out of the oven?
나한테 어떠한 선물을 받고 싶으세요?	What kind of present do you want me to give you?
저에게 맞는, 흥미 있는 직업을 찾다 보니 여기를 알게 되었어요.	I found out about this place after looking for job areas which I had an interest in and thought would suit me.
핸드폰에 있는 당신 사진을 보면서 회사에서 오늘도 근무를 해요.	Thanks to your picture on my cellphone, I drag myself through my work.
혹시 우리 회사에 방문하게 되면 잘 지원하겠습니다.	If you ever visit our company, we'll make sure to support you.
진짜 좋아하면 나한테 이렇게 하면 안돼.	If you like me, you cannot do this to me.
아니면 간단하게 순대만 드실 건가요?	Or are you just going to have #Sundae#?
당신의 따뜻한 말은 제게 감동을 줘요.	Your warm words are so touching to me.
너의 지금 한 달 수입이 얼마인지 말해줄 수 있니?	Could you tell me how much you earn a month right now?
가격을 포함한 이메일을 드릴게요.	I'm going to send you an e-mail including the price information.
우리가 계획하였던 게임들이 총 세 가지가 있어.	There are three games we planned to play.
만약 내가 혼자 있을 때 고양이가 찾아왔으면 좋겠어.	I hope the cat would come to me if I am alone.
저는 처음 하는 일은 무서워서 잘 못 하는 편입니다.	I am not good at the things that I haven't done before as I feel scared.
난 한 번도 필리핀 가본 적 없어요.	I've never been to the Philippines.
우리 고장의 인구가 증가하고 있어요.	The population of my town is growing.
그 밖에 강화 인삼을 활용한 제품들도 살 수 있나요?	Can I buy products made of Ganghwa Ginseng other than that?
샘플 검사 했을때 아무 문제 없었어?	Was it okay when you did the sample inspection?
당신은 이곳에 주차할 수 없습니다.	You are not supposed to park here.
너의 딸을 학교에 데려다준 것이 얼마나 되었니?	How long have you been taking your daughter to school?
그래서 미안했던 친구는 자신이 어지럽힌 것을 다시 청소해주었다.	So my friend who felt bad cleaned the mess again.
지원서가 그녀가 지원한 다섯 개의 학교에 보내졌는지 알고 싶어요.	I’d like to know if the application was sent to five schools she applied for.
한국에서 국회 의원 선거는 매 4 년마다 있습니다.	Parliamentary elections are held every four years in Korea.
문제를 해결할 대안을 얘기하고 있어요.	I am suggesting an alternative which can help us to resolve the problem.
지하철에서 핸드폰 만지작거리더니 더 볼 게 없니?	You were fiddling with your phone on the subway, are you done watching everything?
대한민국은 해마다 한 개의 태풍이 피해를 준다.	Due to a serious whirlwind, the large part of the edge was chopped off.
인천 연수 테크노파크로 196 에요.	It's 196 Technopark road, Yeonsu, Incheon.
그래도 2학년 때가 가장 걱정 없이 놀고 재밌었던 것 같아.	But still, I think we had the best time in the sophomore year, hanging out without any worries.
고3 때 현장 실습으로 회사로 취업 나가서 일했었던 것 기억해?	Do you remember we worked as a field experience at a company when we were a senior in high school?
주영이 천천히 신발을 보는 와중에 가게 안으로 예지가 들어왔어요.	While Juyoung was looking for shoes, Yeji came into the shoestore.
유럽과 비교하면 아시아 축구는 많이 부족합니다.	Asian soccer is very deficient compared to European soccer.
물건을 소중히 여기고 아껴 쓰며 친구 간에 예절도 바른 아이예요.	He's a kid whose both polite to his friends and one who takes care of his possessions.
부모님은 아침 일찍 하루를 시작해요.	Parents start the day early in the morning.
이 경험이 시간제 근무를 하는 데 도움이 되었어.	This experience helped to work through a part-time job.
어떻게 처리하면 될지에 대해서 알려주시면 감사하겠습니다.	I would appreciate if you tell us how to solve this problem.
누군가의 이해 못할 행동에도 항상 그 자신 나름의 이유가 있다.	People who look up to you will feel happy when you are healthy.
최근 젊은 층 사람에게 선탠이 인기예요.	Recently, tanning is popular among young people.
나는 이번 학기를 통해 지식과 경험을 재정비하고 싶어.	I would like to rearrange my knowledge and experiences throughout this semester.
특가로 40,000원으로 해 드릴게요.	I can give you a special price of 40,000 won.
당신은 1학기와 같은 내용으로 수업을 할 예정입니까?	Are you planning to give the same lectures as you did the previous semester?
먼저 저희 회사는 서울 서초구에 위치하고 있어요.	First off, our company is located in Seocho, Seoul.
테스트를 진행하기 위한 동영상 자료는 어디서 볼 수 있나요?	Where can I watch the video clip to progress the test?
다행히도 비행기 선적 전이라 취소가 가능할 수 있었어요.	Fortunately, the cancellation was available since the air shipment was not made yet.
만약 지금 화장을 하고 있다면, 무슨 화장품을 쓰는 편인가요?	If you are wearing makeups, which cosmetics do you tend to use?
친구들은 홍콩을 둘러보기를 원해요.	My friends want to look around Hong Kong.
