id,qid1,qid2,question1,question2,is_duplicate
108,215,216,간통 극복하는 방법,감정에 솔직했을 뿐인데 남자들은 싫은 가봐,1
109,217,218,갈까 말까 고민 돼,갈까 말까?,0
110,219,220,갈수록 힘이 드네,감정조절이 안되서 문자 보냈네,1
111,221,222,감 말랭이 먹고 싶다.,감 말랭이 먹어야지,0
112,223,224,감기 같애,감기인거같애,0
113,225,226,감기 걸린 것 같아,감기 기운이 있어,0
114,227,228,감기가 걸릴 거 같아,감기가 오려나,0
115,229,230,감당 못하는 사랑,강아지 좋아하는 남자 어때?,1
116,231,232,감정 조절이 안돼,갑자기 밀려오는 우울감,1
117,233,234,감정기복,갑자기 또 힘이드네.,1
118,235,236,감정싸움 그만하고 싶어,자꾸 싸우게 돼,0
119,237,238,감정이 쓰레기통처럼 엉망진창이야,나 감정쓰레기통이었나봐,0
120,239,240,감정컨트롤을 못하겠어,감정컨트롤이 안돼,0
121,241,242,감히 나를 무시하는 애가 있어,나 은근 무시하는 애 있어,0
122,243,244,갑자기 급우울,갑자기 일어난 일이라 어이 없어,1
123,245,246,갑자기 무너져버린 내자신,갑자기 화가나서 싸우고,1
124,247,248,갑자기 심장이 덜컹.,갑작스러운 이별에 가슴이 무너져,0
125,249,250,갑자기 차가워졌는데.,같은 반인데 헤어지자고 해야 하나??,1
126,251,252,갑자기 훅 힘들어져,많이 힘드네,0
127,253,254,갑자기 힘드네,같이 마지막으로 다녀온 여행 생각나,1
128,255,256,갑작스럽게 연락이 왔네.,같이 보고싶어서 올려~,1
129,257,258,강렬한 첫인상 남겨야 하는데,첫인상에서 강렬한 인상 남기기,0
130,259,260,강아지 좋아하는 여자 어때?,같은 과에 내 남자애가 좋는데 씨씨는 무리1일까?,1
131,261,262,강아지 키우고 싶어,강아지 키울까,0
132,263,264,강아지 키우고 싶은데 역시 안돼겠지,강아지 키울 수 있을까,0
133,265,266,강원도 가서 살까?,제주도 가서 살까?,1
134,267,268,같은 회사에 좋아하는 여자가 생겼어,같이 일하는 사람에게 어떻게 연락을 시작할까?,1
135,269,270,같은하늘 다른공간,같이 욕해줘,1
136,271,272,같이 놀러갈 친구가 없어,놀러가고 싶은데 같이 갈 친구가 없어,0
137,273,274,같이 먹었는데 나만 살찐 거 같아,연애하고 나만 살 쪘나봐,0
138,275,276,같이 보고싶어 올립니다,같이 해온 5년,1
139,277,278,같이 오르고 있는줄 알았는데.,걔 없이 잘지내 보려구,1
140,279,280,같이 있었는데.,거울 속에 비친 내 모습,1
141,281,282,같이 있으면 힘든데 붙잡고 싶어,나를 힘들게 하는 사람인데 붙잡고 싶어,0
142,283,284,같이 할 수 있는 취미 생활 뭐 있을까,취미생활 같이하는 게 좋다던데,0
143,285,286,개강옷 예쁘게 입어 볼까,개강룩 입어볼까,0
144,287,288,개같이 되버렸어.,개같은 상황,0
145,289,290,개거지같이 헤어져서 열받아,거의 매일 술,1
146,291,292,개기름 꼈어,오후되면 얼굴에 개기름 껴,0
147,293,294,개념이 없어,개념도 놓고 옴,0
148,295,296,개당황,몰라서 당했어,0
149,297,298,개당황했잖아  갑자기 물어 봐서,갑자기 물어봐서 당황했어,0
150,299,300,개인적인 일도 다 시켜,개인적인 업무까지 다 시켜,0
151,301,302,개졸려,너무 졸려,0
152,303,304,개학하니까 좋다,방학 끝나서 좋아,0
153,305,306,걔 너무 싫다,스트레스 주는 사람이 있어,0
154,307,308,걔는 누굴 닮아서 그런거니?,누굴 닮아서 그런건지,0
155,309,310,걔는 행복하게 살텐데,거짓말은 진짜 못고치는 병 맞죠?,1
156,311,312,걔도 날 좋아하는 건지 매너인지 모르겠음.,같이 있으면 너무 좋아,1
157,313,314,걔랑 같은 반 됐으면 좋겠다,좋아하는 애랑 같은 반 됐으면 좋겠다,0
158,315,316,걔한테 잘보이고 싶은데 무슨 옷을 입는게 좋을까?,같이 있자고 말해도 될까?,1
159,317,318,거래처 직원을 좋아하게 됐는데 어떻게 연락할까.,별로인걸 아는데도 좋아해. 이런 내가 너무 싫어.,1
160,319,320,거리가 먼데 고백하면 받아줄까?,걔 앞에만 서면 말이 안 나와,1
161,321,322,거울보는게 싫어졌어,걸지 못한 전화,1
162,323,324,거지 같이 일해 놓고 갔어,일을 거지같이해,0
163,325,326,거지같은 이별,겁나 열받어,1
164,327,328,거지됐어,나 그지임,0
165,329,330,거짓말 하는 썸남 말해?,썸남이 자꾸 거짓말해,0
166,331,332,거짓말 했어,나한테 거짓말 좀 안 했으면,0
167,333,334,거짓말을 하게 돼,거짓말을 나도 모르게 자꾸 해,0
168,335,336,거짓말처럼 돌아왔으면 좋겠다,겨우 힘든 맘 추스렸는데 연락오네,1
169,337,338,걱정 좀 없이 살고 싶다.,걱정 없이 살고파,0
170,339,340,건강검진 왔어,건강검진하러 옴,0
171,341,342,건강이 최고인 것 같아,건강이 최고,0
172,343,344,건강한 다이어트법,건강하게 다이어트 하는 방법,0
173,345,346,건물주가 짱인데,건물주 되고싶어,0
174,347,348,건조하네,되게 건조하네,0
175,349,350,걷자고 꼬셔,게임 아이템 지르는 남친,1
176,351,352,걸레질도 해야 돼,물걸레질해야지,0
177,353,354,걸어 가고 있는데 깜깜해서 무서워,늦은 시간에 걸어다니니까 무서워,0
178,355,356,걸핏하면 차단하는 놈,견디기가 너무 힘드네,1
179,357,358,겁난다,겁난다,0
180,359,360,겁이 납니다.,결국 결혼에 골인 못하고 헤어졌습니다,1
181,361,362,게스트하우스에서 만난 짝남이 관심이 가는데 내게 말 걸게 하고 싶어.,결혼 생각 없는데 꼭 남자친구 부모님을 만나야할까?,1
182,363,364,게스트하우스에서 만난 짝녀와 남은 일정을 같이 여행하고싶어.,결혼 생각 없었는데 결혼하고 싶어진 이유?,1
183,365,366,게임 같이 하자고 할까?,같이 게임하자고 해도 되나?,0
184,367,368,게임 때문에 시간 다갔어,게임하다 시간 다갔어,0
185,369,370,게임 때문에 폰이 점점 느려지는듯,폰게임 때매 폰 느려지는듯,0
186,371,372,게임 재미있어.,게임하고 싶어,0
187,373,374,게임도 이제 재미없어,게임 지겨워,0
188,375,376,겨울에 하는 이별,결국 다시 이렇게 됐네.,1
189,377,378,겨울이 가고 봄이 올거야,겨울 지나 봄이야,0
190,379,380,격려가 필요해.,격려 좀 해줘,0
191,381,382,견딘다는 것,결국 또 꿈꿨네.,1
192,383,384,견딜수 없을만큼 아파,정말 힘드네,1
193,385,386,결국 놓아줬네,결국 또 무너졌습니다.,1
194,387,388,결국 답왔는데.기다리지 말라네,결국 만나진 못하고 카톡으로 맘 전했네,1
195,389,390,결국 또 오게되네,결국 연락했어,1
196,391,392,결국 사고쳤내 또,결국 유료 상담을 받고야 말았네,1
197,393,394,결국 여친이 이별하자네,결국 여친이 헤어지자 하네.,0
198,395,396,결국 연락을 해버렸네.,결국 이렇게 될 꺼면서.,1
199,397,398,결국 완전 끝낫네.,결국 이별의 끝은 망상인건가,1
200,399,400,결국 이런 운명이라니 슬프다,운명이 슬프다,0
201,401,402,결국 이렇게 끝나버리네,결국 찾아갔네.!,1
202,403,404,결국 이렇게 헤어졌어,결국엔 바람난거였네,1
203,405,406,결국 이별 종지부를 찍었네.,결국 핸드폰 번호 바꿨어,1
204,407,408,결국 제가 병신인거죠.,결국 헤어졌네,1
205,409,410,결국 파혼했어!,결국 헤어졌네.,1
206,411,412,결국 핸드폰 번호 바꿨어,결국 헤어지자고 했어.,1
207,413,414,결국 헤어져서 울고 있어,헤어짐 ㅠㅠ,0
208,415,416,결국 헤어졌네,결국 헤어짐이 확실해졌습니다,0
209,417,418,결국 헤어짐이 찾아오네,결혼 가치관 때문에 헤어졌네.,1
210,419,420,결국엔 끝이라는 생각,결혼 전재 동거가 끝났네,1
211,421,422,결국은 무너졌네,결혼 직전 이별,1
212,423,424,결정 못하겠어.,이제 결정해야 되는데,0
213,425,426,결정은 빠를수록 좋겠지?,결정은 빠르면 빠를 수록 좋겠지?,0
214,427,428,결정을 못 내리겠어. 어떻해,아직 결정 못 내렸어,0
215,429,430,결정적인 물증이 없어,심증은 있는데 물증이 없네,0
216,431,432,결혼 결심한 계기가 있었어?,결혼 결심 이유,0
217,433,434,결혼 결심한 이유 있어?,왜 결혼해?,1
218,435,436,결혼 고민,결혼식 앞두고 고민이야,0
219,437,438,결혼 날짜 잡아,결혼식 날짜 잡으려고,0
220,439,440,결혼 삼개월 이혼이네.,결혼은 4년후에 하고 싶다고 하네,1
221,441,442,결혼 상대로 괜찮을까?,결혼하기로 한거야?,1
222,443,444,결혼 전에 다이어트 해야겠지?,결혼 준비하면서 많이 싸워?,1
223,445,446,결혼 전에 준비할 게 많겠지?,결혼 준비하면서 못 보던 모습을 보게 돼,1
224,447,448,결혼 전에 혼란스러워,결혼 해도 되는지 고민돼,1
225,449,450,결혼 준비중 일방적인 이별통보 살기 싫어져.,결혼적령기의 여자는 이기적이에요.,1
226,451,452,결혼 준비하는 과정이 행복해,결혼날짜 받아왔어,1
227,453,454,결혼 했어,결혼 했는데.,0
228,455,456,결혼까지 생각했는데.,계속 맴돈다.,1
229,457,458,결혼도 다 돈이다.,결혼준비 돈 많이 들겠지,0
230,459,460,결혼생활에 회의감이 들어,결혼한게 후회돼,0
231,461,462,결혼식 또 가야돼,결혼식 가기 귀찮아,0
232,463,464,결혼식장 벌써 차있더라,결혼적령기가 지나면 결혼하기 힘들겠지?,1
233,465,466,결혼은 타이밍인가?,시기가 되면 결혼하는건가,1
234,467,468,결혼은 하고 싶은데 며느리는 되기 싫어,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?,1
235,469,470,결혼은 현실이지?,결혼적령기가 언제야?,1
236,471,472,결혼을 앞두고 있습니다,결혼적령기가 지나가는 거 같아,1
237,473,474,결혼이나 하지 왜 자꾸 나한테 화 내냐구!,스타트업하면 위험할까,1
238,475,476,결혼이나 하지 왜 자꾸 나한테 화 내냐구!,계속 생각난다면 연락 한 번 해봐야겠죠?,1
239,477,478,결혼전제로 만나고 있어,결혼할 사이로 사귀는 사람 있어,0
240,479,480,결혼준비하면서 과연 행복할까 고민돼,결혼해도 되는 건지 모르겠어,0
241,481,482,결혼하고 나서 애 낳기 싫어졌어,결혼하고 애 낳는거 너무 힘들거 같아,0
242,483,484,결혼하는데 돈 얼마나 들까,결혼준비하는데 돈 얼마나 드나,0
243,485,486,결혼하는데 돈이 엄청 드네,결혼하는데 보통 얼마 들어?,0
244,487,488,결혼하는데 준비할 게 많네,결혼하는데 왜 이렇게 할 게 많아,0
245,489,490,결혼하니까 이렇게 행복해도 될까 싶어,결혼한지 반년인데 이렇게 행복해도 될까 싶어,0
246,491,492,결혼하면 다 끝일 줄 알았는데,결혼하면 끝일 줄 알았는데,0
247,493,494,결혼하면 안 좋은 점?,결혼하면 나쁜 점,0
248,495,496,결혼하면 행복할까?,결혼하면 좋을까,0
249,497,498,결혼하면 행복해질까?,결혼하면 행복해?,0
250,499,500,결혼하면좋을까,결혼하면 좋은 점 말해줘,0
251,501,502,결혼하자고 말할까?,같이 살까?,0
252,503,504,결혼한지 1년 됐는데 넘 좋아,결혼한지 3개월 행복해,1
253,505,506,결혼할 사람이 나한테 거짓말한 거 같아,계속 그리워,1
254,507,508,결혼할 확신이 안선다고 헤어지자네,계속꿈에 나와,1
255,509,510,결혼할까,결혼해도 되나,0
256,511,512,결혼해도 계속 좋을까?,결혼해도 이렇게 계속 사랑할까,1
257,513,514,결혼해도 될까,내가 그사람이랑 진짜 결혼해도 될까,0
258,515,516,결혼해도 될까?,계속 사랑하고 싶다,1
259,517,518,결혼해서도 설렐까?,계속 살아도 될까?,1
260,519,520,결혼해서도 연애하는 것 같아,계속 생각하고 좋아하면 꿈에 나오려나.,1
261,521,522,결혼해야 하나,결혼하면 좋아?,0
262,523,524,경제력 보는게 이기적인거야?,계속 좋아하는 거 무리일까요.,1
263,525,526,경차사랑카드,21살의 사랑이란감정,1
264,527,528,계속 그 사람 생각만 해.,고마워.,1
265,529,530,계속 그 사람한테 의지해도 될까?,나한테 의지해 줘서 고맙다,1
266,531,532,계속 도전하는 거 귀찮아,도전하기 싫다,0
267,533,534,계속 방학이면 좋을텐데,방학 안 끝났으면 좋겠다,0
268,535,536,계속 보고 싶어,계속 보고 싶으면 어떡해?,0
269,537,538,계속 생각나는 사람.,고민이 되네,1
270,539,540,계속 속이 진짜 안 좋아,요즘 속이 안 좋아,0
271,541,542,계속 시간을 갖자는 의미는 뭔가?,고작 그러려고 날 떠난건지,1
272,543,544,계속 엇갈리는 느낌,우리 계속 엇갈림,0
273,545,546,계속 한숨만 나와,왜 계속 한숨 나오지?,0
274,547,548,계절이 바뀌면,곧 1년인데 헤어졌어,1
275,549,550,고3은 공부만 해야겠지.,고3은 공부해야겠지,0
276,551,552,고구마만 먹고 다이어트 해야지,고구마 다이어트 해야지,0
277,553,554,고기 구워 먹고 싶다.,고기 먹고 싶어,0
278,555,556,고데기 했는데 망했어,고데기 망했어,0
279,557,558,고무신 거꾸로 신으면 어쩌지,군대 기다리면 부담스러워할까,1
280,559,560,고민 있어,고민 좀 들어줄래,0
281,561,562,고민상담 가능?,혼자 살아야 할 듯,1
282,563,564,고민이 많은데 표현을 못하겠어,고민을 어떻게 표현하지,0
283,565,566,고백 받으면 기분 어떨까?,고백 받고 싶어,0
284,567,568,고백 언제 하지,고백,0
285,569,570,고백 좀 하지,고백,0
286,571,572,고백도 못하겠어,고백 어떻게 해,0
287,573,574,고백은 어떻게 하는거야,고백 하는 방법 좀 알려줘,0
288,575,576,고백조차 못해보고 끝났어,고백도 안했는데 싫어하는 것 같아,0
289,577,578,고백하고 싶어,고백 하려는데 기회를 못잡겠어,0
290,579,580,고백하고 어색해지면 어떡하지?,고백했다 차이면 어쩌지?,0
291,581,582,고백하고 후회하면 어떡하지,얘는 싸우기만 하면 연락이 안돼,1
292,583,584,고백하고 후회하면 어떡하지,공부는 내 체질이 아닌 것 같아,1
293,585,586,고백한 애가 연락이 느려.,고백한 애가 톡이 느려.,0
294,587,588,고백한 애가 톡이 안와.,고백했는데 답이 안 와,0
295,589,590,고백할 타이밍인 거 같아,고백 타이밍인데,0
296,591,592,고백합니다,저 오늘 고백할 겁니다.,0
297,593,594,고백해도 될까?,고백할까,0
298,595,596,고백했는데 답장이 없어.,내가 먼저 고백했는데 아직 답이 없어,0
299,597,598,고뱄했는데 너무 떨려.,공휴일에 데이트하자고 해봐야지,1
300,599,600,고시원 답답해,고시원 너무 답답해,0
301,601,602,고시원에서 나가고 싶어,고시원에서 탈출하고 싶어,0
302,603,604,고양이 키우고 싶어,애완동물 키우고 싶어,1
303,605,606,고의는 아닌데 실수를 한 거 같아,친구한테 실수한 거 같아,0
304,607,608,고작 사람 하나인데,공허하네,1
305,609,610,고집하고는,고집 센 사람,0
306,611,612,곧 500일을 앞두고 헤어졌어.,공허함이 크네,1
307,613,614,골프 배워야 돼,골프치러 가야돼,0
308,615,616,골프 어려워,골프 못 치는데,0
309,617,618,곱창 생각나,곱창 먹고 싶어.,0
310,619,620,공공장소에서의 스킨쉽 어떻게 생각해?,과묵한 타입인건가?,1
311,621,622,공무원 괜찮겠지,공무원이 좋지?,0
312,623,624,공무원 되면 좋겠다,공무원 되고 싶다,0
313,625,626,공무원 시험 죽을 거 같아,공무원 시험 힘들어ㅠㅠ,0
314,627,628,공복이라 신경이 예민해져,공복이라 예민해,0
315,629,630,공부 꼭 해야할까,왜 공부해야하는지 모르겠어,0
316,631,632,공부 때려치워야 하나,계속 공부해도 될까,0
317,633,634,공부 시작해도 될까,새로운 공부 시작해도 될까,0
318,635,636,공부 왜 해야 돼?,공부하는 이유?,0
319,637,638,공부 잘 안돼,공부 하기 싫다,0
320,639,640,공부 좀 더 할 걸,어렸을 때 공부 좀 할 걸,0
321,641,642,공부로 먹고 살 수 있을까,계속 공부해도 될까,0
322,643,644,공부하기 싫어,공부하기 싫은 날,0
323,645,646,공부하기 힘들다,과거가 발목을 잡아,1
324,647,648,공부하는 낙이 없어,공부하는 이유가 없어,0
325,649,650,공시 붙자 마자 결혼하재,관심을 받는다는거.,1
326,651,652,공시 준비 힘들어,공무원 시험 힘들다,0
327,653,654,공시 준비 힘들어,공시 준비하는데 힘들다,0
328,655,656,공시 준비하는데 연애하면 안되겠지?,공시생인데 연애 해도 될까?,0
329,657,658,공시준비중,공시생이야,0
330,659,660,공연 보고 싶어,공연 보러 가고 싶어,0
331,661,662,공책 필기 나만 힘들어?,공책 필기 나만 힘들어?,0
332,663,664,공허한 마음,과거의 나한테 화나,1
333,665,666,공황장애 생겼어.,공황장애 있어,0
334,667,668,공황증,과연 사랑이였을까?,1
335,669,670,공휴일에는 집이 최고,공휴일에는 집콕,0
336,671,672,과거는 잊고 앞으로 나아 가야지,과거는 중요하지 않아,0
337,673,674,과거에 얽매여 있어,괜찮다 나는 괜찮다,1
338,675,676,과식했나 봐,너무 많이 먹었나봐,0
339,677,678,과식했다,너무 많이 먹었어,0
340,679,680,과연 돌아올까?,괜찮다가도 불쑥불쑥 올라오네,1
341,681,682,과외비 비싸?,과외비 부담되겠지?,0
342,683,684,과일 먹어야지,과일 챙겨 먹어야지,0
343,685,686,과일 잘 안 먹게 돼,과일 안 먹게 돼,0
344,687,688,과일 챙겨 먹어야지.,과일 먹어야지.,0
345,689,690,과함 설렘 후에 지금은 안 설레,과함 설렘 후에 지금은 안 설레,0
346,691,692,관계가 계속 애매하다.,애매한 관계,0
347,693,694,관심 끄라고 하고 싶다.,관심 좀 안 가졌으면,0
348,695,696,관심 있는거 티 안내려고 선톡 안하고 일부러 늦게 보내고 그러는 사람도 있어요?,관심 있는거 티 안내려고 일부러 답 늦게 보내고 그러는 사람도 있어요?,0
349,697,698,관절염인가,관절염 같애,0
350,699,700,광고가 안끝나,요즘 광고가 너무 길어,0
351,701,702,괘씸하고 분하지만 너무 그립습니다,괜찮아 지고있었는데 에효,1
352,703,704,괜찮다가.갑자기 ㅠ,괜찮아 진 줄 알았는데 오늘 펑펑 울었어.,0
353,705,706,괜찮다가도 한번씩 마음이 저려오네,괜찮아졌다가 다시울컥하네,0
354,707,708,괜찮아 사랑이야,괜찮은 사람 발견함. 여친 있는지 물어봐도 됨?,1
355,709,710,괜찮아 지지가 않아,괜찮았었는데,1
356,711,712,괜찮아졌는줄 알았는데. . .,괜찮은 줄 알았는데,0
357,713,714,괜찮아지고 있어,긴 시간이 걸렸지만 괜찮아.,0
358,715,716,괜찮아진 줄 알았는데.,괜찮은 줄 알았는데.,0
359,717,718,괜찮은 사람인데 사귀긴 싫어,만나면 좋은데 사귀긴 싫어,0
360,719,720,괜찮은 사람인지 어떻게 알 수 있을까?,괜찮은 거 같은데 아니면 어쩌지,0
361,721,722,괜찮은 줄 알았는 데,"괜찮은 척, 어른인척",0
362,723,724,괜찮은 줄 알았는데 남자가 생겼단 말에 마음이 또 다시 덜컥 내려 앉네,괜찮은주 알았는데,1
363,725,726,괜찮은 줄 알았다.,괜한 희망은 더 큰 절망을,1
